title;description;street;city;state;zip;country;lat;lng;phone;fax;email;website;is_disabled;logo;categories;marker_id;;description_2;open_hours;;order
CENTRO MOTORS;;Calle 42 #32B-05;Palmira;Valle del Cauca;;Colombia;3,5383334;-76,3020158;(032) 731 7497;;;;;JAC;Talleres;151;;;mon=07:30 AM - 06:00 PM|tue=07:30 AM - 06:00 PM|wed=07:30 AM - 06:00 PM|thu=07:30 AM - 06:00 PM|fri=07:30 AM - 06:00 PM|sat=08:00 AM - 12:00 PM|sun=0;;0
CENTRO MOTORS;;Calle 31 #34-59;Palmira;Valle del Cauca;;Colombia;3,5288613;-76,305083;(032) 233 9713;;;;;JAC;Concesionarios;151;;;mon=07:30 AM - 06:00 PM|tue=07:30 AM - 06:00 PM|wed=07:30 AM - 06:00 PM|thu=07:30 AM - 06:00 PM|fri=07:30 AM - 06:00 PM|sat=08:00 AM - 01:00 PM|sun=0;;0
TODO AUTOMOTORES DEL HUILA S.A.S.;;Carrera 10 #6-53 Sur;Neiva;Huila;;Colombia;2,9132485;-75,2814791;(038) 873 8789 / 322 896 8368;;;;;JAC;Talleres;151;;;mon=07:30 AM - 06:00 PM|tue=07:30 AM - 06:00 PM|wed=07:30 AM - 06:00 PM|thu=07:30 AM - 06:00 PM|fri=07:30 AM - 06:00 PM|sat=08:00 AM - 12:30 PM|sun=0;;0
AUTOCOM NEIVA;;Carrera 5 #10-30 Sur;Neiva;Huila;;Colombia;2,9301661;-75,2916105;(038) 863 1615 / 01-8000-185393;;;;0;JAC;Concesionarios;151;;;mon=08:00 AM - 12:00 PM,02:00 PM - 06:00 PM|tue=08:00 AM - 12:00 PM,02:00 PM - 06:00 PM|wed=08:00 AM - 12:00 PM,02:00 PM - 06:00 PM|thu=08:00 AM - 12:00 PM,02:00 PM - 06:00 PM|fri=08:00 AM - 12:00 PM,02:00 PM - 06:00 PM|sat=08:00 AM - 01:00 PM|sun=0;;1
RED COMERCIAL LA COSTA S.A.S.;;Carrera 16 #12G-40;Montería;Córdoba;;Colombia;8,7475035;-75,8771913;(034) 795 9623 / 318 289 51 75;;;;;JAC;Concesionarios|Talleres;151;;;mon=07:30 AM - 06:00 PM|tue=07:30 AM - 06:00 PM|wed=07:30 AM - 06:00 PM|thu=07:30 AM - 06:00 PM|fri=07:30 AM - 06:00 PM|sat=07:30 AM - 01:00 PM|sun=0;;0
CASAUTOS S.A.;;Carrera 23 #35-15;Manizales;Caldas;;Colombia;5,0676542;-75,5079999;(036) 320 5500;;;;;JAC;Concesionarios|Talleres;151;;;mon=07:30 AM - 06:30 PM|tue=07:30 AM - 06:30 PM|wed=07:30 AM - 06:30 PM|thu=07:30 AM - 06:30 PM|fri=07:30 AM - 06:30 PM|sat=08:00 AM - 01:00 PM|sun=0;;0
AUTOCOM ITAGÜÍ;;Carrera 42 #33-63;Itagüí;Antioquia;;Colombia;6,1640351;-75,6121033;(034) 605 1236 / 01-8000-185393;;;;0;JAC;Concesionarios;151;;;mon=08:00 AM - 06:00 PM|tue=08:00 AM - 06:00 PM|wed=08:00 AM - 06:00 PM|thu=08:00 AM - 06:00 PM|fri=08:00 AM - 06:00 PM|sat=09:00 AM - 12:00 PM|sun=0;;1
MOTORKIA S.A.S.;;Carrera 1 #11-85;Ipiales;Nariño;;Colombia;0,829578;-77,6351271;(032) 775 7997 / 316 444 4258;;;;;JAC;Concesionarios|Talleres;151;;;mon=07:30 AM - 06:00 PM|tue=07:30 AM - 06:00 PM|wed=07:30 AM - 06:00 PM|thu=07:30 AM - 06:00 PM|fri=07:30 AM - 06:00 PM|sat=08:30 AM - 12:00 PM|sun=0;;0
FERAUTOS S.A.S.;;Av. Américas #29-74;Duitama;Boyacá;;Colombia;5,8229742;-73,037666;(038) 760 2047 / 038 760 1024;;;;;JAC;Concesionarios;151;;;mon=08:00 AM - 06:00 PM|tue=08:00 AM - 06:00 PM|wed=08:00 AM - 06:00 PM|thu=08:00 AM - 06:00 PM|fri=08:00 AM - 06:00 PM|sat=08:30 AM - 03:00 PM|sun=0;;0
FERAUTOS S.A.S.;;Av. Americas #26-49;Duitama;Boyacá;;Colombia;5,8190582;-73,0352688;(038) 760 2047;;;;;JAC;Talleres;151;;;mon=07:30 AM - 05:30 PM|tue=07:30 AM - 05:30 PM|wed=07:30 AM - 05:30 PM|thu=07:30 AM - 05:30 PM|fri=07:30 AM - 05:30 PM|sat=08:30 AM - 12:00 PM|sun=0;;0
AUTOCOM CHÍA;;Km 1 Via Chía - Cajicá;Chía;Cundinamarca;;Colombia;4,8777675;-74,037864;(031) 884 4314 / 01-8000-185393;;;;0;JAC;Concesionarios;151;;;mon=08:00 AM - 06:00 PM|tue=08:00 AM - 06:00 PM|wed=08:00 AM - 06:00 PM|thu=08:00 AM - 06:00 PM|fri=08:00 AM - 06:00 PM|sat=09:00 AM - 05:00 PM|sun=10:00 AM - 03:00 PM;;1
ALMOTORES;;Calle 70 Norte #2A-280;Cali;Valle del Cauca;;Colombia;3,4895558;-76,505353;(032) 485 0127;;;https://almotoresesjacencali.com/;0;JAC;Talleres|Concesionarios;151;;;mon=07:30 AM - 06:00 PM|tue=07:30 AM - 06:00 PM|wed=07:30 AM - 06:00 PM|thu=07:30 AM - 06:00 PM|fri=07:30 AM - 06:00 PM|sat=09:00 AM - 03:00 PM|sun=0;;0
FERSAUTOS S.A.S.;;Diagonal 15 #63-20 Puerta del Sol;Bucaramanga;Santander;;Colombia;7,1053362;-73,1135165;(7) 657 33 00 | Ext.  116, 123, 201, 107 (Taller);;;;0;JAC;Talleres|Concesionarios;151;;;mon=07:30 AM - 05:30 PM|tue=07:30 AM - 05:30 PM|wed=07:30 AM - 05:30 PM|thu=07:30 AM - 05:30 PM|fri=07:30 AM - 05:30 PM|sat=09:00 AM - 01:00 PM|sun=0;;0
AUTOCOM AV. 1;;Calle 1 #18-45;Bogotá;Bogotá D.C.;;Colombia;4,5932472;-74,0934435;(031) 745 0192 / 01-8000-185393;;;;0;JAC;Concesionarios;151;;;mon=09:00 AM - 05:00 PM|tue=09:00 AM - 05:00 PM|wed=09:00 AM - 05:00 PM|thu=09:00 AM - 05:00 PM|fri=09:00 AM - 05:00 PM|sat=10:00 AM - 01:00 PM|sun=10:00 AM - 01:00 PM;;1
AUTOCOM AV. 1 (CENTRO COLISIÓN);;Calle 1 #18-45;Bogotá;Bogotá D.C.;;Colombia;4,5932472;-74,0934435;(031) 745 0192 / 01-8000-185393;;;;0;JAC;Talleres;151;;;mon=07:00 AM - 05:00 PM|tue=07:00 AM - 05:00 PM|wed=07:00 AM - 05:00 PM|thu=07:00 AM - 05:00 PM|fri=07:00 AM - 05:00 PM|sat=08:00 AM - 11:00 AM|sun=0;;1
AUTOUNION S.A.;;Autopista Norte #127D-18;Bogotá;Bogotá D.C.;;Colombia;4,711531;-74,0534003;(031) 615 4284;;;;0;JAC;Talleres|Concesionarios;151;;;mon=08:00 AM - 07:00 PM|tue=08:00 AM - 07:00 PM|wed=08:00 AM - 07:00 PM|thu=08:00 AM - 07:00 PM|fri=08:00 AM - 07:00 PM|sat=10:00 AM - 06:00 PM|sun=0;;0
AUTOCOM CARRERA 36;;Carrera 36 #18-20;Bogotá;Bogotá D.C.;;Colombia;4,6223683;-74,0933384;(031) 745 0173 / 01-8000-185393;;;;0;JAC;Concesionarios;151;;;mon=08:00 AM - 06:00 PM|tue=08:00 AM - 06:00 PM|wed=08:00 AM - 06:00 PM|thu=08:00 AM - 06:00 PM|fri=08:00 AM - 06:00 PM|sat=09:00 AM - 05:00 PM|sun=10:00 AM - 03:00 PM;;1
AUTOCOM CENTRO MAYOR;1er piso Local 1-120;Calle 38A Sur #34D-51;Bogotá;Bogotá D.C.;;Colombia;4,5903013;-74,1239089;(031) 898 5178 / 01-8000-185393;;;;1;JAC;Concesionarios;151;;;mon=10:00 AM - 07:30 PM|tue=10:00 AM - 07:30 PM|wed=10:00 AM - 07:30 PM|thu=10:00 AM - 07:30 PM|fri=10:00 AM - 07:30 PM|sat=11:00 AM - 07:30 PM|sun=11:00 AM - 07:30 PM;;1
AUTOCOM CALLE 80;;Av. Boyaca #77a - 41;Bogotá;Bogotá D.C.;;Colombia;4,6940769;-74,0911017;(031) 898 5175 / 01-8000-185393;;;;0;JAC;Concesionarios;151;;;mon=08:00 AM - 06:00 PM|tue=08:00 AM - 06:00 PM|wed=08:00 AM - 06:00 PM|thu=08:00 AM - 06:00 PM|fri=08:00 AM - 06:00 PM|sat=09:00 AM - 05:00 PM|sun=10:00 AM - 03:00 PM;;1
MORARCI GROUP;;Via 40 #54-58;Barranquilla;Atlántico;;Colombia;10,996157;-74,7814912;(035) 309 1595 / 01-8000-185393;;;;0;JAC;Concesionarios;151;;;mon=08:00 AM - 06:00 PM|tue=08:00 AM - 06:00 PM|wed=08:00 AM - 06:00 PM|thu=08:00 AM - 06:00 PM|fri=08:00 AM - 06:00 PM|sat=09:00 AM - 02:00 PM|sun=0;;0
MACROSERVICIOS CLINICAR;;Calle 50 #44-36;Barranquilla;Atlántico;;Colombia;10,9856241;-74,7887115;(035) 385 1777 Ext 1;;;;;JAC;Talleres;151;;;mon=08:00 AM - 06:00 PM|tue=08:00 AM - 06:00 PM|wed=08:00 AM - 06:00 PM|thu=08:00 AM - 06:00 PM|fri=08:00 AM - 06:00 PM|sat=07:30 AM - 01:00 PM|sun=0;;0
FERSAUTOS S.A.S.;;Calle 52 #5 - 52;Barrancabermeja;Santander;;Colombia;7,0614881;-73,8718906;(037) 620 0355;;;;1;JAC;Concesionarios;151;;;mon=08:00 AM - 06:00 PM|tue=08:00 AM - 06:00 PM|wed=08:00 AM - 06:00 PM|thu=08:00 AM - 06:00 PM|fri=08:00 AM - 06:00 PM|sat=08:00 AM - 01:00 PM|sun=0;;0
AMT ASOCIADOS S.A.S.;(031) 311 3662 / (031) 482 0826 Ext. 112-108;Carrera 28B #74-42;Bogotá;Bogotá D.C.;;Colombia;4,6675561;-74,0695526;310 552 7940 / 318 288 9972;(031) 225 8868;;;;JAC;Talleres;151;;;mon=08:00 AM - 06:00 PM|tue=08:00 AM - 06:00 PM|wed=08:00 AM - 06:00 PM|thu=08:00 AM - 06:00 PM|fri=08:00 AM - 06:00 PM|sat=08:00 AM - 12:00 PM|sun=0;;0
AUTOCOM ITAGÜÍ;;Carrera 42 #33-63;Itagüí;Antioquia;;Colombia;6,1640351;-75,6121033;(034) 605 1236 / 01-8000-185393;;;;0;JAC;Talleres;151;;;mon=07:30 AM - 05:00 PM|tue=07:30 AM - 05:00 PM|wed=07:30 AM - 05:00 PM|thu=07:30 AM - 05:00 PM|fri=07:30 AM - 05:00 PM|sat=07:30 AM - 01:00 PM|sun=0;;1
AUTOCOM CALLE 80;;Av. Boyaca #77a - 41;Bogotá;Bogotá D.C.;;Colombia;4,6940769;-74,0911017;(031) 898 5175 / 01-8000-185393;;;;0;JAC;Talleres;151;;;mon=06:00 AM - 05:00 PM|tue=06:00 AM - 05:00 PM|wed=06:00 AM - 05:00 PM|thu=06:00 AM - 05:00 PM|fri=06:00 AM - 05:00 PM|sat=09:00 AM - 12:00 PM|sun=0;;1
AUTOCOM CARRERA 36;;Carrera 36 #18-20;Bogotá;Bogotá D.C.;;Colombia;4,6223683;-74,0933384;(031) 745 0173 / 01-8000-185393;;;;0;JAC;Talleres;151;;;mon=07:00 AM - 05:00 PM|tue=07:00 AM - 05:00 PM|wed=07:00 AM - 05:00 PM|thu=07:00 AM - 05:00 PM|fri=07:00 AM - 05:00 PM|sat=08:00 AM - 11:00 AM|sun=0;;1
AUTOCOM CHÍA;;Km 1 Via Chía - Cajicá;Chía;Cundinamarca;;Colombia;4,8777675;-74,037864;(031) 884 4314 / 01-8000-185393;;;;0;JAC;Talleres;151;;;mon=07:00 AM - 05:00 PM|tue=07:00 AM - 05:00 PM|wed=07:00 AM - 05:00 PM|thu=07:00 AM - 05:00 PM|fri=07:00 AM - 05:00 PM|sat=08:00 AM - 12:00 PM|sun=0;;1
FERSAUTOS S.A.S.;;Km 4 vía Bucaramanga – Girón;Bucaramanga;Santander;;Colombia;7,085901;-73,140657;(7) 637 59 17 / Móvil: 320 801 66 77;;;;0;JAC;Concesionarios;151;;;mon=07:30 AM - 05:30 PM|tue=07:30 AM - 05:30 PM|wed=07:30 AM - 05:30 PM|thu=07:30 AM - 05:30 PM|fri=07:30 AM - 05:30 PM|sat=09:00 AM - 01:00 PM|sun=0;;0
FERSAUTOS S.A.S.;;Av. 7 #8N-58 Av. Sevilla;Cúcuta;Norte de Santander;;Colombia;7,9087969;-72,5054477;(7) 5780457 Ext 112;;;https://www.fersautos.co/jac;0;JAC;Concesionarios|Talleres;151;;;mon=07:30 AM - 06:00 PM|tue=07:30 AM - 06:00 PM|wed=07:30 AM - 06:00 PM|thu=07:30 AM - 06:00 PM|fri=07:30 AM - 06:00 PM|sat=08:00 AM - 01:00 PM|sun=0;;0
